datum,wind_speed,height,latitude,longitude
2025-01-01T00:00,12.5,100,46.0569,14.5058
2025-01-01T01:00,13.2,100,46.0569,14.5058
2025-01-01T02:00,11.8,100,46.0569,14.5058
2025-01-01T03:00,14.0,100,46.0569,14.5058
2025-01-01T04:00,15.1,100,46.0569,14.5058
2025-01-01T05:00,13.8,100,46.0569,14.5058
2025-01-01T06:00,16.0,100,46.0569,14.5058
2025-01-01T07:00,14.5,100,46.0569,14.5058
2025-01-01T08:00,12.9,100,46.0569,14.5058
2025-01-01T09:00,15.3,100,46.0569,14.5058
2025-01-01T10:00,16.2,100,46.0569,14.5058
2025-01-01T11:00,17.0,100,46.0569,14.5058
2025-01-01T12:00,16.5,100,46.0569,14.5058
